year,ΔΡΑΜΑΣ,ΕΒΡΟΥ,ΚΑΒΑΛΑΣ,ΞΑΝΘΗΣ,ΡΟΔΟΠΗΣ,ΗΜΑΘΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΙΛΚΙΣ,ΠΕΛΛΗΣ,ΠΙΕΡΙΑΣ,ΣΕΡΡΩΝ,ΧΑΛΚΙΔΙΚΗΣ,ΓΡΕΒΕΝΩΝ,ΚΑΣΤΟΡΙΑΣ,ΚΟΖΑΝΗΣ,ΦΛΩΡΙΝΗΣ,ΚΑΡΔΙΤΣΗΣ,ΛΑΡΙΣΗΣ,ΜΑΓΝΗΣΙΑΣ,ΤΡΙΚΑΛΩΝ,ΑΡΤΗΣ,ΘΕΣΠΡΩΤΙΑΣ,ΙΩΑΝΝΙΝΩΝ,ΠΡΕΒΕΖΗΣ,ΖΑΚΥΝΘΟΥ,ΚΕΡΚΥΡΑΣ,ΚΕΦΑΛΛΗΝΙΑΣ,ΛΕΥΚΑΔΟΣ,ΑΙΤΩΛΙΑΣ_ΚΑΙ_ΑΚΑΡΝΑΝΙΑΣ,ΑΧΑΙΑΣ,ΗΛΕΙΑΣ,ΒΟΙΩΤΙΑΣ,ΕΥΒΟΙΑΣ,ΕΥΡΥΤΑΝΙΑΣ,ΦΘΙΩΤΙΔΟΣ,ΦΩΚΙΔΟΣ,ΑΡΓΟΛΙΔΟΣ,ΑΡΚΑΔΙΑΣ,ΚΟΡΙΝΘΙΑΣ,ΛΑΚΩΝΙΑΣ,ΜΕΣΣΗΝΙΑΣ,ΛΕΣΒΟΥ,ΣΑΜΟΥ,ΧΙΟΥ,ΔΩΔΕΚΑΝΗΣΟΥ,ΚΥΚΛΑΔΩΝ,ΗΡΑΚΛΕΙΟΥ,ΛΑΣΙΘΙΟΥ,ΡΕΘΥΜΝΗΣ,ΧΑΝΙΩΝ,ΑΤΤΙΚΗ
2000-12-31,9544.583007428148,9321.645694716954,11013.62687558575,9950.627267958766,10497.201576383832,10515.476871380946,11727.026648922003,9707.845197623375,9151.021797817995,9331.142460304693,8054.988656029285,10978.212150547417,8732.907788057908,8038.72217300604,12420.216116913962,12960.66381348835,7724.645375335317,11287.412263698821,10549.439990185863,8932.542934583718,8152.420072486476,14453.658910620334,9672.805129736831,10179.23396484497,15900.700016522496,12967.888735056138,13542.755684784112,8607.236351520009,8715.91577460742,11072.390189731294,8562.592532047052,20425.41983018617,12548.948240026237,8787.961950213728,12645.969365304536,9976.38619906805,11557.58799646204,12323.298751456352,12210.64462367879,9750.793296080852,9197.500992767411,9541.773286841051,9648.43314957782,9811.260972866796,14673.187498644229,17016.767003685614,11533.333489871864,11650.247141048096,13607.251162217572,12025.30935636221,16514.045085246406
2001-12-31,10604.960160244365,9767.486456552975,10989.7047728058,10710.36897787214,11685.53047098569,11433.673857235834,12646.363828260914,10769.883201191813,10148.61542220046,9880.497220415165,8508.00750256804,11398.976665776094,9340.293641040918,8746.511307274164,13547.373981637757,14032.287536235484,8397.676806448459,11946.209644838085,11484.112263312685,9958.111651540656,8572.449558235146,15509.551276149674,10442.61791595985,10444.794873701065,17443.530845473906,13967.22694616946,14489.722365082873,9493.607756279222,9533.413135370141,11795.797999144508,9298.529731438153,22070.70377314857,13130.397888994088,9255.727458113974,13462.856558661406,10524.194235412717,12592.453009358622,12979.908389646647,12918.652687222047,10642.030445370785,9925.743446836266,10255.890856288162,10484.663710501207,10063.906340443697,15353.085728262822,17512.545771736375,12742.169003004687,12616.0643145925,13889.51925014002,12879.987442126001,17701.39538697574
2002-12-31,11211.087535420531,10473.887053408476,12372.993413033737,10803.520795219249,11679.701952539956,11695.684601852094,13351.940002468622,10952.602588127433,10722.33663538331,10156.599618419936,8561.039516446677,11954.375349156386,9496.83262862284,9835.489945896732,15019.580679602672,15202.726840302621,9203.250493987252,12710.315177560109,12617.917854392394,10172.315324633275,9774.915234806262,16605.53330036984,11347.091959776899,10954.506979072854,17160.34804511502,14131.53761278068,14695.626564423024,9837.118627648719,10363.931430833203,12841.28647114977,10146.44075672525,21864.083553450644,13749.854720789745,9769.951018594842,14037.373892535556,10745.385508669275,13870.969111809,13732.794804734225,12997.530068524547,11675.921660199258,10354.106183189782,10529.906399830925,10615.95069404932,10781.743546873986,15145.217534412743,18164.278603097617,13559.308328768115,12904.720337263407,14194.08840060782,13961.614944840032,19310.085329846614
2003-12-31,11274.481745151468,11512.443278610619,12949.184270501897,11820.587431477985,13061.938646950826,12205.984603721363,14535.563214784743,11303.343982698441,10477.366087824605,11247.285283328654,9370.742516398728,13280.002317142045,9754.578665906265,10540.802467437148,16829.911477373003,17298.95915537256,10175.575558984865,14781.871937611935,14288.033075619413,11408.667346659578,10703.076119089927,18102.227703037086,12120.302732301658,12238.046757212796,19920.20507963048,16177.51189161987,16826.458266809896,10896.385954256279,11382.399854808324,14008.303387503127,11070.262977705257,23661.539706190582,14778.78644038467,10591.110139834604,14937.68679014173,12630.014421664144,14634.885877510054,15133.157475888782,13901.943134556783,12203.170994891472,11164.696747760843,12791.054834170453,11922.8233596392,12381.999266883699,16664.39741369175,20670.35404857827,14729.077625810813,14012.656111155664,15127.708505568695,15150.538760305142,21011.91445207933
2004-12-31,11742.958071612602,12272.573116064272,14196.242169149324,12427.318388152444,12869.884082511611,12997.49538892388,15751.810552033185,12678.874925657386,11878.434006637688,11745.360842691602,10098.970640558908,14176.10036037383,11124.391170974204,10701.420339969678,17631.75712749558,18686.908935301322,10916.010962657638,15574.456636738956,14850.434785050391,12109.4262401647,10656.644636334988,18232.335313855805,12813.134312071556,12168.965502690977,20317.913889287553,17136.1072901557,18726.451590783134,11936.647847439992,12763.075138304655,15282.3126339227,11231.47592938372,23850.13947874579,15392.49742423973,10389.45295780615,15404.749698028809,13552.161667493858,14994.182775690966,16297.159580267356,14274.878426702398,13071.194065264637,11808.368997234835,12981.253938958424,13435.099818044917,13609.053215515343,17559.997813114744,23128.931561040972,15960.082255194227,15272.56300291341,16734.464569298078,16745.110921939628,23025.901040967514
2005-12-31,11975.545267292371,12827.231289109903,15069.515288977716,12396.039227110437,12875.49412451193,13336.656939669732,15633.536183687653,12659.926693990277,11925.17420167371,12311.001138387512,10107.666560458578,14770.424552287659,11107.574540838232,10756.209684718066,18661.846458609736,19431.82565251803,10598.290039409148,15005.592352177528,15071.488733940923,12042.454545098271,11354.50818866229,16566.702593474572,13465.780742937348,12069.48228331638,21333.622129762134,17937.28094185629,19527.527957274524,12980.358417332498,13241.595921263162,15544.108531319956,11790.709347676651,23746.952684437172,16576.289576465773,10430.6572763233,16224.202083029642,13412.107053786664,15665.971217635497,16640.903153132356,14615.461054728368,12691.199730828997,12695.705272442694,14069.737773742041,14978.640924360947,13239.018622184582,17831.375747183407,25211.175826877272,16032.52093323328,16342.93299917874,17101.094629837025,16671.501952007362,23734.559301286816
2006-12-31,12624.590889376173,13187.484847518868,14957.94755653221,13317.834481665082,13211.866042835378,14140.873597563517,17465.670513360383,13028.61561536103,12434.883696018107,12776.00553299788,10389.068464094598,16105.630852080592,11435.786545365665,11717.971376248783,19246.91939763103,19879.591971275517,10846.676623492407,16547.41750042757,17076.40611029708,12694.518833862196,12183.677726130827,16112.458933219745,14431.153726063927,13111.284173629147,22454.96165991237,18913.88240539687,21080.352896360684,14204.052999667741,14011.05253131041,17778.227539000633,12707.730005259435,24767.06916818494,17693.387907912565,11269.138473620294,16079.334819493293,13981.861052032918,17416.412299905478,18180.78384898457,15678.544303470599,13671.326665165869,14007.672975562566,15333.732255641897,16338.830005135773,14414.290940053123,19699.45436543684,25859.846977483016,17706.014840867872,17413.235018151598,16603.54867606465,18107.88208432172,26234.036250051617
2007-12-31,13249.994275445899,14759.929991365747,16996.16582830438,13535.12231289592,14378.813672325163,15040.879106486966,18605.81997974748,15438.912493515474,14506.138399987954,13670.364688623016,11483.784607601554,16706.370353220642,12054.296429815595,12793.480050520968,19293.76189786551,19420.133472565776,11717.122514538374,17432.320470509938,17205.112743705904,13710.405582050438,12511.736326911541,17071.76078332996,15090.703133291827,13968.85446189736,24227.66815373692,19819.994149473696,22882.93682730588,14678.545983111046,14519.431799976373,18612.780297654626,13702.058254133586,24752.951567838776,18884.56590554378,11471.485891268716,17048.77604001492,14533.687052385838,18950.408084242354,18788.5678082733,16810.37375380396,14929.607347848114,15106.915519458375,16310.326266277709,17786.706750954287,16418.578751135337,20504.11983434452,28185.2027131157,18486.65883268005,18287.161670268288,16924.899193006015,18805.91283396476,28095.599369934178
2008-12-31,13377.037155273436,15438.086044757994,18387.89897350314,14536.533020882516,15148.417578571925,15189.420476143352,19453.59052039562,15402.468075237479,14959.587492154013,14673.042908502977,11420.536990743338,17362.00582655266,12698.561795027703,13269.637388201667,18345.26815406367,17942.408871220403,12090.321409818067,18001.4868291795,18112.748218405704,13846.83420323326,12601.319560365053,18323.880646813748,15299.112626746251,14324.574582837718,25264.407035286968,21340.945659059278,23419.50553126751,14818.076458250425,14761.001940509528,18733.16726095864,13989.606606222444,25103.23190998407,18937.46340200443,13148.855137040304,18073.792240543306,15618.831962726423,19787.047075221315,18382.010514921454,18011.201909589785,15125.064695877052,15479.797292536034,17272.19767890592,19253.3277467096,17094.950058360722,21942.676766422064,29388.007388454706,19561.817425999972,18806.561192875593,17510.575453630587,19508.89209420734,29215.074965289892
2009-12-31,13369.390755353512,15665.088387934415,17846.223585939333,13860.855215526095,14608.095183088726,14733.60323344507,18942.529958393436,14433.934104995025,14222.511053455271,14292.90713532037,11204.211645674359,16507.705605492185,11741.358498036469,13001.549150615623,19763.457014446827,19240.143398537322,12342.483941588567,17472.048336484528,16723.793245579236,13928.835634076864,12812.104197554967,16414.075842494305,14884.051867455193,14213.459710996463,23612.49483526349,19453.412725525297,21254.095720214314,15467.513295076751,14357.92197199254,17775.857340663617,13522.066569733403,24726.457890150188,17487.30467961774,13139.876282274921,17250.51978690821,15047.574054904746,19308.762926079937,18804.68532349623,16944.00147068201,15158.224989122822,15182.309710826947,16815.050554797996,17865.22119316896,16631.60488780172,20097.968312215202,27427.631214844285,18636.325681216254,18772.739094030174,17152.404331382684,19005.104260453125,28991.728406372484
